icao_code,country_code,iata_code,lng,name,lat
KMIA,US,MIA,-80.29,Miami International Airport,25.79
KBWI,US,BWI,-76.67,Baltimore-Washington International Airport,39.18
KDFW,US,DFW,-97.04,Dallas/Fort Worth International Airport,32.9
KGSP,US,GSP,-82.22,Greenville-Spartanburg International Airport,34.89
KLAX,US,LAX,-118.41,Los Angeles International Airport,33.94
KSDF,US,SDF,-85.74,Louisville International Airport,38.17
KSJC,US,SJC,-121.93,Norman Y. Mineta San Jose International Airport,37.36
KONT,US,ONT,-117.6,Ontario International Airport,34.06
KSLC,US,SLC,-111.98,Salt Lake City International Airport,40.79
KSFO,US,SFO,-122.38,San Francisco International Airport,37.62
KIAD,US,IAD,-77.45,Washington Dulles International Airport,38.95
KICT,US,ICT,-97.43,Wichita Mid-Continent Airport,37.65
KABQ,US,ABQ,-106.61,Albuquerque International Sunport,35.04
KAGS,US,AGS,-81.97,Augusta Regional Airport,33.37
CYYC,CA,YYC,-114.01,Calgary International Airport,51.12
KRFD,US,RFD,-89.1,Chicago Rockford International Airport,42.2
KCLE,US,CLE,-81.85,Cleveland Hopkins International Airport,41.41
KDTW,US,DTW,-83.35,Detroit Metropolitan Wayne County Airport,42.21
CYEG,CA,YEG,-113.58,Edmonton International Airport,53.31
CYHZ,CA,YHZ,-63.51,Halifax Stanfield International Airport,44.88
KIND,US,IND,-86.3,Indianapolis International Airport,39.72
KJAX,US,JAX,-81.69,Jacksonville International Airport,30.49
KMCI,US,MCI,-94.72,Kansas City International Airport,39.3
CYYZ,CA,YYZ,-79.62,Toronto Pearson International Airport,43.68
KMCO,US,MCO,-81.31,Orlando International Airport,28.43
KPBI,US,PBI,-80.1,Palm Beach International Airport,26.68
KPHX,US,PHX,-112,Phoenix Sky Harbor International Airport,33.43
KGSO,US,GSO,-79.94,Piedmont Triad International Airport,36.1
KPDX,US,PDX,-122.59,Portland International Airport,45.59
KDCA,US,DCA,-77.04,Ronald Reagan Washington National Airport,38.85
KSMF,US,SMF,-121.59,Sacramento International Airport,38.69
KTPA,US,TPA,-82.53,Tampa International Airport,27.98
KTOL,US,TOL,-83.81,Toledo Express Airport,41.59
KBTR,US,BTR,-91.15,Baton Rouge Metropolitan Airport,30.53
KBDL,US,BDL,-72.69,Bradley International Airport,41.94
VABB,IN,BOM,72.87,Chhatrapati Shivaji International Airport,19.09
KORD,US,ORD,-87.9,Chicago O'Hare International Airport,41.98
KCVG,US,CVG,-84.66,Cincinnati/Northern Kentucky International Airport,39.05
KOMA,US,OMA,-95.9,Eppley Airfield,41.3
LFSB,FR,MLH,7.53,EuroAirport Basel-Mulhouse-Freiburg,47.59
KMKE,US,MKE,-87.9,General Mitchell International Airport,42.95
KIAH,US,IAH,-95.34,George Bush Intercontinental Airport,29.98
KGRR,US,GRR,-85.53,Gerald R. Ford International Airport,42.88
KLGA,US,LGA,-73.87,La Guardia Airport,40.78
KMDT,US,MDT,-76.76,Harrisburg International Airport,40.19
KATL,US,ATL,-84.43,Hartsfield-Jackson Atlanta International Airport,33.64
LTBA,TR,ISL,28.81,Istanbul Atatuerk Airport,40.98
KJAC,US,JAC,-110.74,Jackson Hole Airport,43.61
